frames,policy_entropy,policy_loss,grad_norm,advantage_norm,explained_variance,PMM:episode_rewards,P09:episode_rewards,epoch_idx,value_loss,episode_length,P01:episode_rewards,fps
1272000,1.373117183446884,0.0008692000550217927,0.19385890013483245,1.3251347906142472,-0.0005113011598587036,1.49,4.0,159,0.015019894907291019,184.59,0.0,224
1280000,1.3529629075527192,0.0025632040243363007,0.23094070553636045,1.4671541019529104,-0.00233832061290741,1.67,5.0,160,0.018018837720410373,189.81,0.0,224
1288000,1.3753153991699218,0.0010740802250802518,0.1938290621921193,1.1569043058343231,-0.0014655309915542602,1.82,5.0,161,0.0124923847586615,195.12,0.0,224
1296000,1.3748018777370452,-0.0009709060529712588,0.1994835293622446,1.1744707117974758,-0.0016310298442840576,1.54,5.0,162,0.013299307190500258,187.39,0.0,224
1304000,1.3792852401733398,-0.0005124955139763187,0.18794120596053085,1.1713269988819957,-0.005646596550941467,1.35,3.0,163,0.013031945776210705,181.77,0.0,224
1312000,1.37866238117218,0.0039006877189967783,0.20153817379125624,1.2967090553417802,-0.0009930163621902465,1.26,4.0,164,0.014613652842645024,176.87,0.0,224
1320000,1.3798173761367798,-0.0006903386750491336,0.24984786178409749,1.4861060043424368,-0.0012452834844589233,1.62,5.0,165,0.01852037094271509,193.03,0.0,224
1328000,1.374266324043274,0.0014317221508827061,0.21101635594505988,1.3229685241356492,-0.00229270339012146,1.89,5.0,166,0.015179972649466435,203.77,0.0,224
1336000,1.3705666875839233,0.004531770407920703,0.2509273354256323,1.4442495742812753,-0.0018070530891418457,1.81,4.1000000000000085,167,0.019057261775760708,200.78,0.0,224
1344000,1.3548983645439148,0.00018646511802216992,0.24518210461325995,1.4846329991146923,-0.00038389384746551514,1.9,5.0,168,0.018189346427971032,201.88,0.0,224
