frames,P09:episode_rewards,P01:episode_rewards,PMM:episode_rewards,epoch_idx,policy_loss,grad_norm,advantage_norm,approx_kl_divergence,episode_length,policy_entropy,fps,clip_fraction,explained_variance,value_loss
1218560,1205.0000000000005,425.0,838.75,119,-0.011775518543072395,1.8648569895761355,15.968719327449799,0.002538347649079117,569.45,1.6572484783828259,236,0.169970703125,0.8604196820408105,0.25613009948283433
1228800,1275.0,447.5,896.25,120,-0.013259335338079836,1.7994930347450662,15.96871919631958,0.002769341739349662,569.98,1.6539934515953063,236,0.1787841796875,0.947893787920475,0.1375857307924889
1239040,1275.0,450.0,890.5,121,-0.012310554677969775,1.8240270676857904,15.968719285726547,0.0022285595725182344,577.08,1.6870803952217102,236,0.1553466796875,0.8912733443081379,0.2947756972396746
1249280,952.5000000000002,425.0,770.25,122,-0.013181224682193715,1.6972550619752353,15.968719124794006,0.002515782412024545,547.87,1.6627091363072395,236,0.1547119140625,0.8909230332821607,0.16860550860874354
1259520,977.5000000000002,425.0,843.25,123,-0.013780213930658647,1.8902352565569498,15.968719232082368,0.0023441959191134887,547.38,1.656138076633215,236,0.1472412109375,0.8971402570605278,0.4307963374303654
1269760,1277.5000000000002,422.5,883.25,124,-0.01214728940576606,1.9455651040952548,15.968719327449799,0.0024796973663345503,531.84,1.6352813981473446,236,0.1501708984375,0.9076407752931118,0.2955689011141658
1280000,1350.0,422.5,967.0,125,-0.012407761798385764,1.8413201989999344,15.968719172477723,0.0021844250578854623,546.08,1.6411207623779773,236,0.13642578125,0.8639338225126266,0.5574295757571235
1290240,1327.5000000000002,450.0,982.75,126,-0.011550403386718245,1.8652273187536257,15.9687191426754,0.0022478190939185685,546.27,1.6380883403122426,236,0.1471923828125,0.9256397593766451,0.24166821651160716
1300480,1350.0,475.0,1023.5,127,-0.013045901348232292,1.955840299737743,15.968719214200974,0.0026149421454650726,559.34,1.6351074412465096,236,0.17392578125,0.9156871754676104,0.11771189488936215
1310720,1350.0,475.0,982.75,128,-0.014553429894658621,1.9928320475195336,15.968719148635865,0.0028010915447342598,565.28,1.6387772679328918,236,0.194140625,0.906997686251998,0.232330094370991
1320960,1350.0,475.0,982.75,129,-0.012094564679136966,2.293737261938926,15.968719363212585,0.0022505363865551555,566.9,1.6607637219130993,236,0.150390625,0.8479521337896585,0.5035046737873927
1331200,1255.0000000000005,475.0,970.25,130,-0.01316176612963318,2.1671561593590707,15.968719327449799,0.0024939587148540823,567.45,1.6596672609448433,236,0.1703857421875,0.8923742644488811,0.5027293898863718
1341440,1350.0,475.0,1054.5,131,-0.010658531011495142,2.786308053768656,15.9687191426754,0.0024386126387074356,567.67,1.6602458670735358,236,0.1542724609375,0.73916553594172,0.9198493742384016
1351680,1350.0,475.0,1052.75,132,-0.012048692390089854,2.010101662118676,15.96871926188469,0.0022783791712302623,562.67,1.6608276933431625,236,0.1569580078125,0.9099608924239874,0.2530116057023406
1361920,1615.0000000000225,400.0,1076.0,133,-0.012776581129583065,1.906185696032648,15.968719267845154,0.002371825005889438,554.87,1.6618192873895168,236,0.1449462890625,0.9019796919077635,0.2595869961427525
1372160,1350.0,375.0,1003.25,134,-0.011776672024279834,2.288773677912092,15.96871920824051,0.002491705131660952,546.05,1.6310583092272282,236,0.1552490234375,0.8513403177261353,0.3393076511914842
