PMM:episode_rewards,fps,grad_norm,advantage_norm,P09:episode_rewards,approx_kl_divergence,epoch_idx,frames,policy_loss,explained_variance,value_loss,policy_entropy,clip_fraction,episode_length,P01:episode_rewards
99.25,249,0.03738367612428484,15.96871783733368,177.50000000000023,0.0020298646391978536,121,1239040,-0.0010051992529042763,-1.1920928955078126e-08,0.007197701434779447,1.1514347836375236,0.1288818359375,346.58,0.0
115.25,249,0.04409884366845058,15.96871771812439,200.0,0.002018340331215995,122,1249280,-0.0007594001355755609,5.587935447692871e-09,0.007275007172256665,1.2359183475375175,0.1436767578125,363.25,25.0
120.25,249,0.04871084576191772,15.968717497587203,200.0,0.002806080043296788,123,1259520,-0.0009186155934003182,1.080334186553955e-08,0.007344351429946982,1.364655578136444,0.2282958984375,372.74,25.0
143.25,249,0.052408845680960436,15.968717753887177,200.0,0.0027046163545492163,124,1269760,-0.0013146486864570762,-7.82310962677002e-09,0.00786314367342129,1.487841471284628,0.2168701171875,388.04,50.0
133.5,249,0.053073725664114314,15.968717783689499,177.50000000000023,0.002729069252507088,125,1280000,-0.0014085032689763466,-1.6763806343078613e-08,0.007722981592996803,1.5107399873435496,0.23583984375,376.37,50.0
144.75,249,0.05695346383448456,15.968717795610427,200.0,0.002409703330420143,126,1290240,-0.0011491294972074684,-5.587935447692871e-09,0.00861832057016727,1.5448257640004157,0.22919921875,385.23,50.0
162.25,249,0.05236318196641025,15.968717712163926,227.5000000000002,0.0019023457991465876,127,1300480,-0.0010707877510867548,-2.6077032089233397e-09,0.010229624330531806,1.4700115732848644,0.17099609375,387.18,50.0
157.0,249,0.05214842160443338,15.96871771812439,227.5000000000002,0.0019166364815106363,128,1310720,-0.0010877283290028571,-2.7567148208618165e-08,0.007677369290377101,1.414037147909403,0.1667236328125,384.63,50.0
150.0,249,0.052113730697020175,15.968717753887177,225.0,0.002332183172268287,129,1320960,-0.0008945360357756726,-2.3469328880310058e-08,0.006805175702174893,1.4942425049841404,0.196875,381.89,50.0
129.25,249,0.05407626757324633,15.968717652559281,200.0,0.002717938448040513,130,1331200,-0.001860787813711795,-1.4156103134155273e-08,0.00838742443756928,1.5577785551548005,0.2445068359375,368.43,50.0
